lon	lat
-58.601275	-62.50656944
-58.59803611	-62.50557222
-58.59487222	-62.50453333
-58.59173889	-62.50346944
-58.58861389	-62.50240278
-58.58550833	-62.501325
-58.58238611	-62.50026111
-58.57921111	-62.49922778
-58.576025	-62.49819722
-58.57289167	-62.49714167
-58.56976667	-62.496075
-58.56662222	-62.49503056
-58.56346389	-62.49398889
-58.560325	-62.49292222
-58.55720556	-62.49185278
-58.55406944	-62.49080556
-58.55093333	-62.48975
-58.54777222	-62.48870833
-58.54463611	-62.48765278
-58.54146667	-62.48660278
-58.53833056	-62.48555556
-58.53519722	-62.48449444
-58.53197222	-62.48349167
-58.52880278	-62.48245833
-58.52566944	-62.4814
-58.52253889	-62.48033889
-58.51939167	-62.47928889
-58.51623056	-62.47824444
-58.51307222	-62.47720556
-58.50993056	-62.47615278
-58.506825	-62.47507778
-58.503675	-62.47403056
-58.50052778	-62.47298056
-58.497375	-62.471925
-58.49422778	-62.47086667
-58.49106944	-62.46983333
-58.48795833	-62.46876667
-58.48481667	-62.46771667
-58.48167778	-62.46665833
-58.47852222	-62.46561667
-58.47536389	-62.46457222
-58.47221944	-62.46352222
-58.46910833	-62.46246111
-58.46596111	-62.46141111
-58.46282778	-62.46035278
-58.45965556	-62.45931944
-58.45652778	-62.45825278
-58.45340833	-62.45719167
-58.45025556	-62.45614167
-58.44709444	-62.45510278
-58.44393611	-62.45405833
-58.44079722	-62.45301389
-58.43766111	-62.45195833
-58.43453611	-62.4509
-58.4314	-62.44984167
-58.42825833	-62.44879722
-58.42510278	-62.44775556
-58.42196111	-62.44670833
-58.41883056	-62.44565278
-58.41570278	-62.44458889
-58.41255	-62.44353889
-58.4094	-62.44248889
-58.40630278	-62.44141667
-58.40315556	-62.44036944
-58.40002222	-62.43931389
-58.39688056	-62.43826111
-58.393725	-62.43721944
-58.39056667	-62.43616944
-58.38744167	-62.43510833
-58.38432222	-62.43404444
-58.38116944	-62.433
-58.37805	-62.43193611
-58.37491667	-62.43088056
-58.37178056	-62.42983611
-58.36864167	-62.42878889
-58.36548333	-62.42774167
-58.36238611	-62.426675
-58.359225	-62.42563611
-58.356075	-62.42458889
-58.35294167	-62.42353056
-58.349825	-62.42246944
-58.346675	-62.42142222
-58.343525	-62.42038333
-58.34038056	-62.41933889
-58.33726389	-62.418275
-58.33413056	-62.41722222
-58.33099722	-62.41616389
-58.32785833	-62.41511667
-58.32469444	-62.414075
-58.32155833	-62.41302222
-58.31841667	-62.41197222
-58.315275	-62.41092778
-58.31216667	-62.40985556
-58.30906667	-62.40878056
-58.30591389	-62.40773611
-58.30277222	-62.40668889
-58.29966389	-62.40562222
-58.29653889	-62.40456111
-58.29342222	-62.40349722
-58.29034722	-62.40240833
-58.28720556	-62.40136389
-58.284	-62.40035
-58.2809	-62.39928056
-58.27776667	-62.39823056
-58.27463611	-62.397175
-58.27143056	-62.39615556
